Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity,data_origin,is_real,source_artifact_id,source_row,annotation_origin,verification_status
Avoid hidden alcoves and offsets.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,16,source_published_record,source_published_record_unreviewed
Design solution should consider construction and in-use needs.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,17,source_published_record,source_published_record_unreviewed
Consider the floor material to prevent slippery surface near openings.,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,18,source_published_record,source_published_record_unreviewed
Avoid trap hazards near openings.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,19,source_published_record,source_published_record_unreviewed
"Design permanent grating in opening, to be installed when opening is created during construction.",,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,20,source_published_record,source_published_record_unreviewed
Specify guardrail systems around floor openings except at the entrance to stairways.,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,21,source_published_record,source_published_record_unreviewed
Design in cast in sockets for handrail protection,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,22,source_published_record,source_published_record_unreviewed
Identify covering strong enough to support any loads likely to be placed on it ; and fixed in position to prevent accidental dislodgement. ,,Detail Design,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,23,source_published_record,source_published_record_unreviewed
Avoid risk of objects falling from holes/openings on workers below.,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,24,source_published_record,source_published_record_unreviewed
Leave creation of penetrations later date in schedule,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,25,source_published_record,source_published_record_unreviewed
Create walkways with signs and barriers to avoid the openings,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,26,source_published_record,source_published_record_unreviewed
Provide requisite guardrails and toe boards at all slab openings.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,27,source_published_record,source_published_record_unreviewed
Provide warning markings and/or colour change.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,28,source_published_record,source_published_record_unreviewed
Provide protective grate to support weight of person over opening.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,29,source_published_record,source_published_record_unreviewed
Use safety nets fixed directly below the opening.,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,30,source_published_record,source_published_record_unreviewed
Inform contractor to Design-in permanent cast-in sockets around floor openings to enable early installation of permanent railings.,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,31,source_published_record,source_published_record_unreviewed
Identify safe working load  (swl) of temporary covers in slab floor and specify fixings,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,32,source_published_record,source_published_record_unreviewed
Inform contractor of need for  inspection at suitable intervals ,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,33,source_published_record,source_published_record_unreviewed
Securely fix  cover with adequate safe working load (SWL) over opening with fixings requiring a tool. ,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,34,source_published_record,source_published_record_unreviewed
Inspect protective measures regularly,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,35,source_published_record,source_published_record_unreviewed
Housekeeping on site to prevent trip hazards near openings.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,36,source_published_record,source_published_record_unreviewed
Use safety nets fixed over the hole to catch falling objects.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,37,source_published_record,source_published_record_unreviewed
Ensure work is carried out only when weather conditions do not jeopardise the   health and safety of the workers.,,"Site work, Temp Works, Change control",Reduce,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,38,source_published_record,source_published_record_unreviewed
"Provide safe lighting levels, including access and depression.",,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,39,source_published_record,source_published_record_unreviewed
Consider indicating pathways and adding tie-offs.(Clarify please),,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,40,source_published_record,source_published_record_unreviewed
Every temporary floor opening shall be constantly attended by someone.,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,41,source_published_record,source_published_record_unreviewed
Provide warning markings and/or colour change.,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,42,source_published_record,source_published_record_unreviewed
Inform Site team of any activities when covers or guardrails need to be removed.,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,43,source_published_record,source_published_record_unreviewed
Site team required to highlight and report any changes  on-site affecting the design ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,44,source_published_record,source_published_record_unreviewed
Contractor should identify all remaining opening/edges and check  the selected permanent safety measures,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Opening,Slab,Physical-Opening,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,45,source_published_record,source_published_record_unreviewed
Ensure that the building height and area per floor meet all local building code requirements for the type of construction used.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,46,source_published_record,source_published_record_unreviewed
Consider pre cast sections with edge protection,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,47,source_published_record,source_published_record_unreviewed
Consider steel frame which is easier to manage and can be lifted with edge protection attached,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,48,source_published_record,source_published_record_unreviewed
"Minimize the number of offsets, and make the offsets a consistent size and as large as possible for the floor layout.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,49,source_published_record,source_published_record_unreviewed
Ensure falsework can be used for edge protection,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,50,source_published_record,source_published_record_unreviewed
Engage Structural engineer with architects to assist in design of handrail and guard elements.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,51,source_published_record,source_published_record_unreviewed
Consider staged perimeter construction prior to casting floor slabs,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,52,source_published_record,source_published_record_unreviewed
Provide adequate railing or other means of fall protection along exposed perimeter of the building.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,53,source_published_record,source_published_record_unreviewed
Cast in slots for edge protection,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,54,source_published_record,source_published_record_unreviewed
Install internal precast staircases as construction progresses,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,55,source_published_record,source_published_record_unreviewed
Consider  the design of cladding and joints  of walls  to ensure  that the interface of slab and vertical element is managed.,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,56,source_published_record,source_published_record_unreviewed
Design in hooks for netting,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,57,source_published_record,source_published_record_unreviewed
Inform the contractor to assess the formwork and falsework to be used (how it works with the construction sequence and building shape).,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,58,source_published_record,source_published_record_unreviewed
Structural engineer to understand system of erection,,Detail Design,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,59,source_published_record,source_published_record_unreviewed
Provide good access and ground conditions to area,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,60,source_published_record,source_published_record_unreviewed
Programme for the project to take activities into consideration to reduce exposure to edges,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,61,source_published_record,source_published_record_unreviewed
Install walkway routes to avoid edge,,Pre construction,Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,62,source_published_record,source_published_record_unreviewed
Provide requisite guardrails and toe boards at all slab edges.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,63,source_published_record,source_published_record_unreviewed
Schedule to consider critical path for progressive construction,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,64,source_published_record,source_published_record_unreviewed
Inform contractor to Design-in permanent cast-in sockets around floor openings to enable early installation of permanent railings.,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,65,source_published_record,source_published_record_unreviewed
Inspect protective measures regularly,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,66,source_published_record,source_published_record_unreviewed
Erect scaffolding to progressively protect edges,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,67,source_published_record,source_published_record_unreviewed
Adequate access equipment MEWPs etc..,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,68,source_published_record,source_published_record_unreviewed
Prevent fall by safety netting,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,69,source_published_record,source_published_record_unreviewed
Operatives to wear harnesses near edge.,,"Site work, Temp Works, Change control",Eliminate,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,70,source_published_record,source_published_record_unreviewed
Ensure work is carried out only when weather conditions do not jeopardise the   health and safety of the workers.,,"Site work, Temp Works, Change control",Reduce,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,71,source_published_record,source_published_record_unreviewed
Install anchor point for harness,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,72,source_published_record,source_published_record_unreviewed
Site team required to highlight and report any changes  on-site affecting the design ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,73,source_published_record,source_published_record_unreviewed
Contractor should identify all remaining opening/edges and check  the selected permanent safety ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,74,source_published_record,source_published_record_unreviewed
Contractor should identify all remaining opening/edges and check  the selected permanent safety ,,"Site work, Temp Works, Change control",Inform,Fall-From open edge,High Level-Near Edge,Slab,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,75,source_published_record,source_published_record_unreviewed
Avoid designing equipment or elevated features next to roof edges.,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,76,source_published_record,source_published_record_unreviewed
Avoid roof mounted extractors that require manual inspection or maintenance,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,77,source_published_record,source_published_record_unreviewed
"Where necessary to locate equipment within 3m from edge of roof, provide railings or means of securing fall protection devices with appropriate signage.",,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,78,source_published_record,source_published_record_unreviewed
Integrate upstands at edge details.,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,79,source_published_record,source_published_record_unreviewed
Preferably design minimum 1.1. m height parapets or railings at all roof edges.,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,80,source_published_record,source_published_record_unreviewed
Avoid specifying fragile materials for skylights.,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,81,source_published_record,source_published_record_unreviewed
Structural engineer liaises with architects during design phase to assist in design of handrail and guard elements.,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,82,source_published_record,source_published_record_unreviewed
Gantry systems can be designed to maintain atriums and skylights.,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,83,source_published_record,source_published_record_unreviewed
Provide adequate railing or other means of fall protection along exposed perimeter of the building,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,84,source_published_record,source_published_record_unreviewed
"Provide safe access directly to all roof levels or from level to level (protected ladder, ships ladder, stairs).",,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,85,source_published_record,source_published_record_unreviewed
"If height parapets or railings at all roof edges of min 1.1 are not designed, alternatively, provide safety line anchor points along all roof edges.",,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Flat roof,Physical-Edge,In situ concrete,Install construction,real,True,sha256:2fd0cb93c495cb22e80444e0d5e22d0b46f69fe8ff874c3bae9f0b7fe06af9cb,86,source_published_record,source_published_record_unreviewed
